regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,8,2,0.25,4.0,16,512,256,1024,448,227.169,344.29,235.523,0.0713
mixed,8,2,0.25,4.0,16,1024,128,512,224,196.128,264.192,205.089,0.1317
mixed,8,2,0.25,4.0,16,1024,256,1024,448,249.377,366.016,260.673,0.0968
mixed,8,2,0.25,4.0,32,0,128,512,224,162.016,228.288,169.888,0.1188
mixed,8,2,0.25,4.0,32,0,256,1024,448,214.208,328.929,223.871,0.0842
mixed,8,2,0.25,4.0,32,512,128,512,224,219.296,288.129,225.505,0.0902
mixed,8,2,0.25,4.0,32,512,256,1024,448,274.562,392.707,279.837,0.0446
mixed,8,2,0.25,4.0,32,1024,128,512,224,284.161,352.227,291.716,0.111
mixed,8,2,0.25,4.0,32,1024,256,1024,448,337.249,454.816,344.8,0.0642
mixed,8,2,0.25,4.0,64,0,128,512,224,169.441,238.242,175.235,0.0842
mixed,8,2,0.25,4.0,64,0,256,1024,448,222.657,337.185,228.545,0.0514
mixed,8,2,0.25,4.0,64,512,128,512,224,304.609,373.698,310.305,0.0824
mixed,8,2,0.25,4.0,64,512,256,1024,448,359.935,475.903,363.839,0.0337
mixed,8,2,0.25,4.0,64,1024,128,512,224,385.763,451.042,390.432,0.0715
mixed,8,2,0.25,4.0,64,1024,256,1024,448,438.431,553.155,441.537,0.0271
mixed,8,2,0.25,4.0,128,0,128,512,224,188.706,257.214,193.889,0.0757
mixed,8,2,0.25,4.0,128,0,256,1024,448,243.585,356.705,249.344,0.0509
mixed,8,2,0.25,4.0,128,512,128,512,224,428.769,496.448,435.043,0.0927
mixed,8,2,0.25,4.0,128,512,256,1024,448,482.754,600.579,486.337,0.0304
mixed,8,2,0.25,4.0,128,1024,128,512,224,529.378,598.05,534.98,0.0816
mixed,8,2,0.25,4.0,128,1024,256,1024,448,583.042,697.828,585.985,0.0256
mixed,8,2,0.25,4.0,256,0,128,512,224,485.41,549.056,488.612,0.0503
mixed,8,2,0.25,4.0,256,0,256,1024,448,535.172,649.217,540.257,0.0446
mixed,8,2,0.25,4.0,256,512,128,512,224,682.816,751.329,688.994,0.0902
mixed,8,2,0.25,4.0,256,512,256,1024,448,736.257,854.789,736.834,0.0049
mixed,8,2,0.25,4.0,256,1024,128,512,224,881.604,948.832,887.779,0.0919
mixed,8,2,0.25,4.0,256,1024,256,1024,448,932.868,1050.531,939.363,0.0552
mixed,8,2,0.25,4.0,512,0,128,512,224,562.692,632.383,566.85,0.0597
mixed,8,2,0.25,4.0,512,0,256,1024,448,618.531,735.585,619.779,0.0107
mixed,8,2,0.25,4.0,512,512,128,512,224,980.803,1047.235,986.084,0.0795
mixed,8,2,0.25,4.0,512,512,256,1024,448,1036.388,1151.237,1040.357,0.0346
mixed,8,2,0.25,4.0,512,1024,128,512,224,1372.709,1440.226,1375.46,0.0407
mixed,8,2,0.25,4.0,512,1024,256,1024,448,1426.214,1540.645,1429.571,0.0293
mixed,8,2,0.25,4.0,1024,0,128,512,224,1352.164,1424.802,1361.381,0.1269
mixed,8,2,0.25,4.0,1024,0,256,1024,448,1407.205,1522.052,1411.141,0.0343
mixed,8,2,0.25,4.0,1024,512,128,512,224,2204.84,2272.327,2210.183,0.0792
mixed,8,2,0.25,4.0,1024,512,256,1024,448,2256.392,2370.826,2258.6,0.0193
pure,8,3,0.375,4.0,0,0,128,512,272,116.319,167.232,115.007,-0.0258
pure,8,3,0.375,4.0,0,0,256,1024,544,169.983,269.026,170.525,0.0055
mixed,8,3,0.375,4.0,16,0,128,512,272,140.065,191.04,140.416,0.0069
mixed,8,3,0.375,4.0,16,0,256,1024,544,192.737,293.281,194.688,0.0194
mixed,8,3,0.375,4.0,16,512,128,512,272,192.384,241.503,191.744,-0.013
mixed,8,3,0.375,4.0,16,512,256,1024,544,241.632,343.999,242.368,0.0072
mixed,8,3,0.375,4.0,16,1024,128,512,272,216.001,264.64,213.091,-0.0598
mixed,8,3,0.375,4.0,16,1024,256,1024,544,266.399,365.503,267.745,0.0136
mixed,8,3,0.375,4.0,32,0,128,512,272,178.177,227.424,178.049,-0.0026
mixed,8,3,0.375,4.0,32,0,256,1024,544,230.114,328.994,232.288,0.022
mixed,8,3,0.375,4.0,32,512,128,512,272,235.361,287.583,235.361,0.0
mixed,8,3,0.375,4.0,32,512,256,1024,544,291.328,393.09,291.97,0.0063
mixed,8,3,0.375,4.0,32,1024,128,512,272,297.951,351.264,297.762,-0.0035
mixed,8,3,0.375,4.0,32,1024,256,1024,544,354.977,454.981,353.892,-0.0108
mixed,8,3,0.375,4.0,64,0,128,512,272,187.329,238.465,183.488,-0.0751
mixed,8,3,0.375,4.0,64,0,256,1024,544,239.649,339.587,240.065,0.0042
mixed,8,3,0.375,4.0,64,512,128,512,272,318.721,373.952,320.066,0.0244
mixed,8,3,0.375,4.0,64,512,256,1024,544,376.481,475.712,372.61,-0.039
mixed,8,3,0.375,4.0,64,1024,128,512,272,398.434,452.32,398.818,0.0071
mixed,8,3,0.375,4.0,64,1024,256,1024,544,454.148,556.13,453.283,-0.0085
mixed,8,3,0.375,4.0,128,0,128,512,272,204.898,257.695,202.691,-0.0418
mixed,8,3,0.375,4.0,128,0,256,1024,544,259.522,360.003,260.227,0.007
mixed,8,3,0.375,4.0,128,512,128,512,272,444.482,495.618,441.058,-0.067
mixed,8,3,0.375,4.0,128,512,256,1024,544,497.216,601.602,499.01,0.0172
mixed,8,3,0.375,4.0,128,1024,128,512,272,542.85,594.852,542.082,-0.0148
mixed,8,3,0.375,4.0,128,1024,256,1024,544,596.388,696.675,596.353,-0.0003
mixed,8,3,0.375,4.0,256,0,128,512,272,497.953,546.753,495.233,-0.0557
mixed,8,3,0.375,4.0,256,0,256,1024,544,548.962,648.962,550.113,0.0115
mixed,8,3,0.375,4.0,256,512,128,512,272,695.202,752.961,696.994,0.031
mixed,8,3,0.375,4.0,256,512,256,1024,544,748.099,853.765,748.706,0.0057
mixed,8,3,0.375,4.0,256,1024,128,512,272,893.83,949.474,894.179,0.0063
mixed,8,3,0.375,4.0,256,1024,256,1024,544,949.699,1053.732,948.418,-0.0123
mixed,8,3,0.375,4.0,512,0,128,512,272,578.082,630.469,577.572,-0.0097
mixed,8,3,0.375,4.0,512,0,256,1024,544,632.385,734.467,631.616,-0.0075
mixed,8,3,0.375,4.0,512,512,128,512,272,992.259,1048.707,993.763,0.0266
mixed,8,3,0.375,4.0,512,512,256,1024,544,1047.11,1148.578,1051.622,0.0445
mixed,8,3,0.375,4.0,512,1024,128,512,272,1385.668,1436.546,1383.107,-0.0503
mixed,8,3,0.375,4.0,512,1024,256,1024,544,1439.397,1539.079,1441.126,0.0173
mixed,8,3,0.375,4.0,1024,0,128,512,272,1369.763,1422.695,1369.827,0.0012
mixed,8,3,0.375,4.0,1024,0,256,1024,544,1424.614,1522.788,1422.725,-0.0192
mixed,8,3,0.375,4.0,1024,512,128,512,272,2220.649,2275.815,2218.632,-0.0366
mixed,8,3,0.375,4.0,1024,512,256,1024,544,2269.639,2372.168,2270.182,0.0053
pure,8,4,0.5,4.0,0,0,128,512,320,129.856,167.296,129.728,-0.0034
pure,8,4,0.5,4.0,0,0,256,1024,640,191.585,267.393,194.017,0.0321
mixed,8,4,0.5,4.0,16,0,128,512,320,153.185,190.624,153.441,0.0068
